Number, Country, Total Cases, Total Deaths, Recovered, Active Cases
1,USA,11946186,257078 ,7182115,+15119
2,India,8993423,131978 ,8417288,+35518
3,Brazil,5947403,167497 ,5389863,
4,France,2086288,47127 ,147569,+2178
5,Russia,2015608,34850  ,1526656,+25573
6,Spain,1574063,42291 ,N/A,N/A
7,UK,1453256,53775 ,N/A,N/A
8,Argentina,1339337,36347 ,1156474,
9,Italy,1308528,47870 ,498987,+17020
10,Colombia,1218003,34563 ,1125184,
11,Mexico,1015071,99528 ,762025,+4074
12,Peru,941951,35402 ,869165,
13,Germany,867132,13615 ,562700,+16200
14,Iran,815117,43417 ,583704,+6721
15,Poland,796798,12088 ,361886,+19003
16,South Africa,757144,20556 ,701534,
17,Ukraine,583510,10369 ,266479,+7400
18,Belgium,545787,15025 ,34249,+562
19,Chile,536012,14955 ,511874,+1108
20,Iraq,529226,11834 ,457490,+2314
21,Indonesia,483518,15600 ,406612,+4265
22,Czechia,479020,6856 ,368179,+605
23,Netherlands,467257,8771 ,N/A,N/A
24,Bangladesh,441159,6305 ,356722,+1934
25,Turkey,430170,11943 ,364573,+2918
26,Philippines,413430,7998 ,374939,+286
27,Romania,393851,9596 ,269590,+8203
28,Pakistan,365927,7248 ,326674,+886
29,Saudi Arabia,354527,5729 ,341956,+441
30,Israel,326628,2739 ,315508,+190
31,Canada,312320,11214 ,249697,+1376
32,Morocco,311554,5090 ,257992,+4641
33,Switzerland,285655,3827 ,180700,+11600
34,Portugal,243009,3701 ,157924,+4222
35,Austria,228683,2116 ,149541,+6803
36,Nepal,215020,1276 ,185638,+2858
37,Sweden,201055,6340 ,N/A,N/A
38,Ecuador,183246,13073 ,160639,
39,Jordan,169395,2053 ,100280,+5384
40,Hungary,161461,3472 ,36345,+1499
41,UAE,155254,544 ,146469,+932
42,Panama,149833,2907 ,129755,
43,Bolivia,143569,8875 ,118333,+544
44,Kuwait,138822,859 ,130426,+587
45,Qatar,136649,235 ,133691,+218
46,Dominican Republic,136183,2301 ,111527,+656
47,Costa Rica,127012,1588 ,78238,
48,Kazakhstan,123097,1945 ,111172,+337
49,Japan,122966,1922 ,106954,+1257
50,Armenia,121979,1870 ,88388,+8319
51,Oman,121360,1365 ,112406,+392
52,Belarus,119390,1074 ,99584,+1266
53,Guatemala,117066,4050 ,106305,+597
54,Lebanon,111946,868 ,63404,+876
55,Egypt,111613,6495 ,101421,
56,Bulgaria,110536,2530 ,32480,
57,Ethiopia,104427,1607 ,64983,+390
58,Serbia,104097,1110 ,31536,
59,Honduras,103488,2839 ,45082,
60,Venezuela,98350,860 ,93390,
61,Moldova,93961,2091 ,75530,+1301
62,Croatia,93879,1200 ,74865,+2192
63,Georgia,93092,853 ,73877,+2409
64,Slovakia,91578,579 ,38695,+2771
65,Greece,85261,1347 ,9989,
66,Bahrain,85182,337 ,83087,
67,Azerbaijan,83994,1053 ,59465,+1354
68,Tunisia,83772,2541 ,58229,
69,Bosnia and Herzegovina,76757,2153 ,41031,+1145
70,Libya,76006,1062 ,46793,+666
71,Myanmar,74882,1676 ,55633,+869
72,Kenya,74145,1330 ,50658,+780
73,Paraguay,73639,1624 ,52608,
74,Uzbekistan,70921,601 ,68123,+81
75,Algeria,70629,2206 ,46326,
76,Ireland,69473,2010 ,23364,
77,Kyrgyzstan,68316,1217 ,59362,+516
78,Palestine,67296,598 ,57469,+626
79,Denmark,67105,773 ,52445,+1228
80,Nigeria,65693,1163 ,61457,
81,Slovenia,61034,964 ,40153,+1646
82,Singapore,58139,28 ,58052,+6
83,Malaysia,51680,326 ,38132,+878
84,North Macedonia,51213,1423 ,30204,+621
85,Ghana,50457,323 ,48710,
86,Afghanistan,44228,1650 ,35350,+55
87,Lithuania,40492,341 ,10008,+646
88,El Salvador,36965,1061 ,33517,
89,Norway,30973,305 ,19025,
90,Albania,30623,657 ,14565,+349
91,S. Korea,29654,498 ,26098,+125
92,Montenegro,29577,420 ,18744,+334
93,Luxembourg,29243,254 ,19231,+727
94,Australia,27785,907 ,25506,
95,Cameroon,22896,433 ,21510,
96,Ivory Coast,21045,129 ,20712,
97,Finland,20286,374 ,15300,
98,Sri Lanka,18841,73 ,12903,+316
99,Zambia,17350,356 ,16591,+96
100,Madagascar,17310,250 ,16592,
101,Uganda,17148,158 ,8426,+32
102,Senegal,15835,329 ,15440,+7
103,Sudan,15047,1175 ,9609,
104,Mozambique,14723,120 ,12849,+95
105,Angola,13922,332 ,6623,
106,Namibia,13662,141 ,13182,+30
107,Guinea,12713,75 ,11689,
108,French Polynesia,12587,62  ,4842,
109,Maldives,12452,45 ,11475,+69
110,DRC,11918,323 ,11190,
111,Tajikistan,11772,86 ,11148,+43
112,Latvia,11722,141 ,1557,
113,French Guiana,10930,70 ,9995,
114,Jamaica,10088,235 ,5407,+38
115,Cabo Verde,10000,104 ,9484,
116,Haiti,9191,232 ,7820,
117,Botswana,9103,30 ,6801,
118,Gabon,9084,58 ,8957,
119,Zimbabwe,8981,261 ,8184,
120,Estonia,8715,86 ,5264,+144
121,Malta,8560,104 ,6301,+117
122,Guadeloupe,8225,143 ,2242,
123,Mauritania,8010,167 ,7553,
124,Cuba,7725,131 ,7201,+29
125,Cyprus,7711,41 ,2021,
126,Bahamas,7323,163 ,5483,
127,Réunion,7298,34 ,5928,
128,Syria,6919,358 ,2868,
129,Trinidad and Tobago,6180,113 ,5505,
130,Eswatini,6156,119 ,5831,+5
131,Andorra,6066,76 ,5127,+72
132,Malawi,5999,185 ,5434,
133,Nicaragua,5725,159 ,4225,
134,Djibouti,5658,61 ,5549,
135,Rwanda,5543,46 ,5087,
136,Congo,5515,92 ,3887,
137,Hong Kong,5492,108 ,5233,+9
138,Suriname,5282,116 ,5158,
139,Iceland,5231,25 ,4973,+39
140,Equatorial Guinea,5121,85 ,4975,
141,Mayotte,5036,48 ,2964,
142,Belize,4958,100 ,2680,+20
143,Guyana,4914,142 ,3962,
144,CAR,4900,63 ,1924,
145,Martinique,4732,37 ,98,
146,Aruba,4685,45 ,4558,
147,Somalia,4382,108 ,3384,
148,Uruguay,4296,68 ,3404,
149,Mali,4033,141 ,2983,
150,Thailand,3888,60 ,3742,+13
151,Gambia,3705,122 ,3578,
152,South Sudan,3016,59 ,1290,
153,Benin,2916,43 ,2579,
154,Togo,2752,63 ,2058,
155,Burkina Faso,2670,68 ,2472,
156,Guinea-Bissau,2421,43 ,2286,
157,Sierra Leone,2397,74 ,1823,
158,Yemen,2086,608 ,1428,+11
159,Lesotho,2058,44 ,1273,
160,New Zealand,2010,25 ,1948,+29
161,Chad,1616,101 ,1457,
162,Liberia,1528,82 ,1328,
163,Curaçao,1482,2 ,953,
164,San Marino,1358,43 ,1019,
165,Niger,1331,70 ,1151,
166,Vietnam,1304,35 ,1142,+18
167,Channel Islands,1079,48 ,869,+17
168,Liechtenstein,1072,8 ,865,+24
169,Sao Tome and Principe,967,16 ,920,
170,Sint Maarten,964,24 ,874,
171,Gibraltar,931,3 ,802,+12
172,Turks and Caicos,720,6 ,695,
173,Diamond Princess,712,13 ,659,
174,Saint Martin,690,12 ,598,
175,Burundi,641,1 ,575,
176,Taiwan,609,7 ,545,+4
177,Papua New Guinea,604,7 ,586,
178,Comoros,592,7 ,563,+5
179,Monaco,573,3 ,497,+10
180,Eritrea,518, ,451,
181,Mongolia,518, ,329,
182,Tanzania,509,21 ,183,
183,Faeroe Islands,498, ,495,
184,Mauritius,494,10 ,433,
185,Bhutan,378, ,357,+1
186,Isle of Man,366,25 ,332,
187,Cambodia,304, ,291,
188,Cayman Islands,258,2 ,243,
189,Barbados,252,7 ,239,+1
190,Bermuda,224,9 ,196,
191,Saint Lucia,183,2 ,60,
192,Seychelles,160, ,157,
193,Caribbean Netherlands,157,3 ,151,
194,Brunei ,148,3 ,145,
195,Antigua and Barbuda,139,4 ,127,
196,St. Barth,127, ,94,
197,St. Vincent Grenadines,83, ,78,+1
198,British Virgin Islands,71,1 ,70,
199,Dominica,68, ,41,
200,Macao,46, ,46,
201,Grenada,36, ,30,
202,Fiji,35,2 ,32,
203,New Caledonia,30, ,30,+1
204,Timor-Leste,30, ,30,
205,Vatican City,27, ,15,
206,Laos,25, ,23,
207,Saint Kitts and Nevis,19, ,19,
208,Greenland,18, ,17,
209,Falkland Islands,16, ,13,
210,Saint Pierre Miquelon,16, ,12,
211,Solomon Islands,16, ,5,
212,Montserrat,13,1 ,12,
213,Western Sahara,10,1 ,8,
214,MS Zaandam,9,2 ,,
215,Marshall Islands,4, ,1,
